2014-05-09-13-12-31-672,-0.774138,0.192076,0.339612,-0.498479,-0.0179916,0.0290611,-0.0134689,41.0773,-0.197054,373
2014-05-09-13-12-31-706,-0.772968,0.191967,0.343446,-0.497709,-0.025496,0.0016282,-0.0124523,41.0773,-0.197054,373
2014-05-09-13-12-31-740,-0.771252,0.190916,0.345976,-0.499021,-0.0156731,-0.00566949,-0.0357043,41.0773,-0.197053,373.005
2014-05-09-13-12-31-775,-0.769952,0.191133,0.347026,-0.500216,-0.00326565,-0.00155514,-0.00146662,41.0773,-0.197053,373.005
2014-05-09-13-12-31-809,-0.769433,0.191403,0.347237,-0.500763,0.0140323,0.0041484,-0.064881,41.0773,-0.197053,373.005
2014-05-09-13-12-31-843,-0.7698,0.190992,0.34755,-0.500139,-0.0119508,0.00822555,-0.0657432,41.0773,-0.197053,373.005
2014-05-09-13-12-31-877,-0.770755,0.191704,0.34826,-0.497897,0.00424043,-0.00281586,-0.0367589,41.0773,-0.197053,373.005
2014-05-09-13-12-31-912,-0.770915,0.192157,0.349618,-0.49652,-0.0226863,-0.0320782,-0.0226315,41.0773,-0.197053,373.005
2014-05-09-13-12-31-946,-0.771043,0.191129,0.352125,-0.494944,-0.0224976,-0.0180443,-0.016486,41.0773,-0.197053,373.005
2014-05-09-13-12-31-980,-0.77083,0.190458,0.354604,-0.493765,-0.0186905,0.00214132,-0.0125992,41.0773,-0.197053,373.005
2014-05-09-13-12-32-015,-0.771377,0.189386,0.357207,-0.491441,0.0338205,0.0228366,0.00691453,41.0773,-0.197053,373.005
2014-05-09-13-12-32-049,-0.771208,0.190884,0.358541,-0.490152,0.0347702,0.0110018,0.0162127,41.0773,-0.197053,373.005
2014-05-09-13-12-32-083,-0.770274,0.193815,0.359261,-0.489943,0.0324084,0.0112299,0.018805,41.0773,-0.197053,373.005
2014-05-09-13-12-32-118,-0.769118,0.196465,0.360224,-0.489998,-0.0139182,0.0136377,0.0212743,41.0773,-0.197053,373.005
2014-05-09-13-12-32-152,-0.767535,0.199777,0.362449,-0.489499,-0.0312442,-0.0137548,0.0149521,41.0773,-0.197053,373.005
2014-05-09-13-12-32-186,-0.766817,0.20253,0.363641,-0.488608,-0.023672,-0.0200749,0.00419798,41.0773,-0.197053,373.005
2014-05-09-13-12-32-221,-0.766212,0.204362,0.365215,-0.48762,-0.0392724,0.00266799,0.0200362,41.0773,-0.197053,373.005
2014-05-09-13-12-32-255,-0.76572,0.205019,0.366986,-0.486787,-0.0356339,-0.00543477,0.0279636,41.0773,-0.197053,373.005
2014-05-09-13-12-32-290,-0.765796,0.206081,0.367676,-0.485697,-0.0135025,-0.0108797,0.0151383,41.0773,-0.197053,373.005
2014-05-09-13-12-32-324,-0.766138,0.206517,0.368642,-0.484239,-0.00781305,0.0199507,-0.000305307,41.0773,-0.197053,373.005
2014-05-09-13-12-32-358,-0.7667,0.206097,0.368867,-0.483354,-0.00842877,-0.0168893,0.014337,41.0773,-0.197053,373.005
